"Phase","Index","Label","Description","Category","Level","Symptom","Entry"
"1","856","progressive upper extremity muscle weakness","Gradual upper limb weakness","Symptom","2","gradual upper limb weakness","My upper arms have gradually become weaker over the past few days."
"1","1032","tenderness in leg","Thigh hurts when touched","Symptom","2","thigh soreness","When I woke up this morning my thigh was feeling extremely sore. I'm not sure if I over worked it in the gym or if I pulled something."
"3","2932.0","use of birth control pills","Estrogen is the female hormone","Medication","2","estrogen hormone medication intake","Currently, I'm into estrogen hormone medication intake"
"3","1121.0","history of dental caries","Having tooth cavities","Disease / Medical Condition","2","having dental caries in the past","I’m having dental caries in the past"
"1","302","vulvovaginal pain","Vaginal irritation","Symptom","2","vaginal heat","I have been feeling vaginal heat."
"1","661","lymphadenopathy","Enlarged or swollen lymph nodes","Symptom","2","sore lymph nodes","My lymph nodes seem sore under the arms. I had a friend who experienced the same problems."
"1","7","abdominal bloating","","Symptom","2","blown abdomen","My abdomen feels blown up like a balloon."
"3","752.0","history of endometriosis","Endometriosis is a condition where tissue similar to the lining of the womb grows in other places, such as the ovaries and fallopian tubes","Disease / Medical Condition","2","a previous occurrence of endometriosis","Endometriosis affects up to 10% of women between the ages of 15 and 44. It most often occurs on or around reproductive organs in the pelvis or abdomen, including: Fallopian tubes. Ligaments around the uterus"
"3","3820.0","chronic venous insufficiency","Chronic venous insufficiency is a condition in which veins, typically in the legs, do not function properly","Disease / Medical Condition","1","chronic venous insufficiency","I have chronic venous insufficiency which is a condition that affects the veins in my body. It can cause pain, swelling, and difficulty controlling fluid balance."
"1","640","laxity of the ligaments/joints","Flexible ligaments","Symptom","2","wide range of motion","My ligaments seem to have a wider range of motion than usual, I feel super flexible but not in a good way."
"1","753","oral ulcers","Mouth ulcers","Symptom","2","wound in mouth","I've been experiencing some discomfort in my mouth. I have noticed a painful wound or ulcer that has developed inside my mouth, making it difficult to eat and speak. I'm not sure how it happened, but it's been bothering me for a few days now."
"3","1688.0","cocoa consumption","Recently eating chocolate, or having symptoms occur or worsen after eating cocoa products","Risk factor","2","cocoa products intake","I intake cocoa products, is this an issue to my health? Should I intake less?"
"1","412","nipple discharge","Breast leaking milk","Symptom","2","breast leaking milk without breastfeeding","The symptom of breast milk leaking without breastfeeding started approximately two weeks ago. It began as an occasional occurrence, but now it happens more frequently throughout the day, even when I'm not breastfeeding or stimulating my breasts.  There haven't been any significant changes in my health recently, but I gave birth to my first child about three months ago. Initially, I breastfed my baby exclusively, but I gradually transitioned to a combination of breastfeeding and bottle feeding with formula. I've been experiencing some challenges with breastfeeding, including low milk supply and difficulties with latching, so I introduced formula to ensure my baby is getting enough nutrition."
"3","5288.0","prolonged immobilization","Being physically inactive or sitting for a long period of time","Risk factor","2","extended bed rest","I have been advised to take extended bed rest due to my medical condition."
"1","697","electric shock sensation in upper extremity","Buzzing sensation in upper extremity","Symptom","2","electric shock sensation from shoulder to hand","I am noticing an electric shock sensation in my left arm from my shoulder to my hand. It is worse when I elevate my hand above my head."
"3","5374.0","neurogenic or psychiatric conditions","Any conditions that can alter your mental status","Disease / Medical Condition","2","diagnosed conditions that can alter mental status","I was diagnosed with conditions that can alter my mental status"
"3","3227.0","use of calcium channel blockers","Calcium channel blockers are medications that relax blood vessels and increase the supply of blood and oxygen to the heart","Medication","2","use of tiazac","I have been using Tiazac for my medical condition."
"3","1402.0","family history of polycystic ovary syndrome","Polycystic ovary syndrome is a condition in which the ovaries produce an abnormal amount of androgens, male sex hormones that are usually present in women in small amounts","Family History","2","family history of hyperandrogenic anovulation","Doctor, I wanted to inform you that there's a family history of hyperandrogenic anovulation. While I don't currently have any symptoms or a diagnosis related to this condition, I thought it's important to share this information with you for my medical records. Please let me know if there are any screenings or preventive measures I should consider in the future."
"3","3664.0","family history of pancreatic cancer","Pancreatic cancer occurs when changes in the pancreas cells lead them to multiply out of control","Family History","2","family history of pancreatic ductal adenocarcinoma","I have a family history of pancreatic ductal adenocarcinoma, which is a type of pancreatic cancer. It's a risk factor I thought should be taken into consideration."
"1","297","bulging fontanel","Bulging of the soft spots of skull","Symptom","2","abnormal fontanel protrusion","Doctor, I'm experiencing abnormal fontanel protrusion, where the soft spots on my skull seem to be bulging. It's something I've noticed and I'm not sure why it's happening. I'm concerned about it and would like your evaluation to understand the cause and any necessary treatment."
